ClientId,ClientName,Type,Form,RegisterDate,TotalAmt,CutoffDt
35,Клиент 35,Ф,-,2020-11-03,2556472.09,2020-11-03
35,Клиент 35,Ф,-,2020-11-03,1527192.80,2020-11-01
36,Клиент 36,Ю,ИП,2020-11-01,1111128.80,2020-11-01
36,Клиент 36,Ю,ИП,2020-11-01,2860501.57,2020-11-04
36,Клиент 36,Ю,ИП,2020-11-01,1373011.13,2020-11-02
37,Клиент 37,Ф,-,2020-11-02,2351728.45,2020-11-01
37,Клиент 37,Ф,-,2020-11-02,984314.55,2020-11-03
37,Клиент 37,Ф,-,2020-11-02,1699227.20,2020-11-02
38,Клиент 38,Ю,АО,2020-11-03,1505422.60,2020-11-03
38,Клиент 38,Ю,АО,2020-11-03,1527296.00,2020-11-04
38,Клиент 38,Ю,АО,2020-11-03,2556651.37,2020-11-02
39,Клиент 39,Ф,-,2020-11-04,2860684.20,2020-11-03
39,Клиент 39,Ф,-,2020-11-04,1111204.92,2020-11-04
39,Клиент 39,Ф,-,2020-11-04,1373090.56,2020-11-01
40,Клиент 40,Ю,ПАО,2020-11-01,984390.67,2020-11-02
40,Клиент 40,Ю,ПАО,2020-11-01,2351884.00,2020-11-04
40,Клиент 40,Ю,ПАО,2020-11-01,1699330.40,2020-11-01
41,Клиент 41,Ф,-,2020-11-02,1527399.20,2020-11-03
41,Клиент 41,Ф,-,2020-11-02,2556830.69,2020-11-01
41,Клиент 41,Ф,-,2020-11-02,1505502.03,2020-11-02
42,Клиент 42,Ю,ООО,2020-11-03,1111281.04,2020-11-03
42,Клиент 42,Ю,ООО,2020-11-03,2860866.83,2020-11-02
42,Клиент 42,Ю,ООО,2020-11-03,1373169.99,2020-11-04
43,Клиент 43,Ф,-,2020-11-01,2352039.55,2020-11-03
43,Клиент 43,Ф,-,2020-11-01,984466.80,2020-11-01
43,Клиент 43,Ф,-,2020-11-01,1699433.60,2020-11-04
44,Клиент 44,Ю,ИП,2020-11-02,1527502.40,2020-11-02
44,Клиент 44,Ю,ИП,2020-11-02,1505581.48,2020-11-01
44,Клиент 44,Ю,ИП,2020-11-02,2557010.01,2020-11-04
45,Клиент 45,Ф,-,2020-11-03,2861049.50,2020-11-01
45,Клиент 45,Ф,-,2020-11-03,1373249.42,2020-11-03
45,Клиент 45,Ф,-,2020-11-03,1111357.16,2020-11-02
46,Клиент 46,Ю,АО,2020-11-04,2352195.10,2020-11-02
46,Клиент 46,Ю,АО,2020-11-04,1699536.80,2020-11-03
46,Клиент 46,Ю,АО,2020-11-04,984542.90,2020-11-04
47,Клиент 47,Ф,-,2020-11-01,1505660.90,2020-11-04
47,Клиент 47,Ф,-,2020-11-01,2557189.33,2020-11-03
47,Клиент 47,Ф,-,2020-11-01,1527605.60,2020-11-01
48,Клиент 48,Ю,ПАО,2020-11-02,1373328.85,2020-11-02
48,Клиент 48,Ю,ПАО,2020-11-02,2861232.10,2020-11-04
48,Клиент 48,Ю,ПАО,2020-11-02,1111433.28,2020-11-01
49,Клиент 49,Ф,-,2020-11-03,1699640.00,2020-11-02
49,Клиент 49,Ф,-,2020-11-03,984619.02,2020-11-03
49,Клиент 49,Ф,-,2020-11-03,2352350.65,2020-11-01
50,Клиент 50,Ю,ООО,2020-11-01,1527708.80,2020-11-04
50,Клиент 50,Ю,ООО,2020-11-01,2557368.65,2020-11-02
50,Клиент 50,Ю,ООО,2020-11-01,1505740.33,2020-11-03
51,Клиент 51,Ф,-,2020-11-02,1373408.28,2020-11-01
51,Клиент 51,Ф,-,2020-11-02,1111509.40,2020-11-04
51,Клиент 51,Ф,-,2020-11-02,2861414.73,2020-11-03
52,Клиент 52,Ю,ИП,2020-11-03,2352506.20,2020-11-04
52,Клиент 52,Ю,ИП,2020-11-03,1699743.20,2020-11-01
52,Клиент 52,Ю,ИП,2020-11-03,984695.14,2020-11-02
53,Клиент 53,Ф,-,2020-11-04,1505819.76,2020-11-02
53,Клиент 53,Ф,-,2020-11-04,1527812.02,2020-11-03
53,Клиент 53,Ф,-,2020-11-04,2557547.97,2020-11-01
54,Клиент 54,Ю,АО,2020-11-01,2861597.36,2020-11-02
54,Клиент 54,Ю,АО,2020-11-01,1111585.53,2020-11-03
54,Клиент 54,Ю,АО,2020-11-01,1373487.71,2020-11-04
55,Клиент 55,Ф,-,2020-11-02,984771.26,2020-11-01
55,Клиент 55,Ф,-,2020-11-02,2352661.78,2020-11-03
55,Клиент 55,Ф,-,2020-11-02,1699846.40,2020-11-04
56,Клиент 56,Ю,ПАО,2020-11-03,2557727.29,2020-11-04
56,Клиент 56,Ю,ПАО,2020-11-03,1505899.19,2020-11-01
56,Клиент 56,Ю,ПАО,2020-11-03,1527915.20,2020-11-02
57,Клиент 57,Ф,-,2020-11-01,2861779.99,2020-11-01
57,Клиент 57,Ф,-,2020-11-01,1111661.63,2020-11-02
57,Клиент 57,Ф,-,2020-11-01,1373567.14,2020-11-03
58,Клиент 58,Ю,ООО,2020-11-02,984847.38,2020-11-04
58,Клиент 58,Ю,ООО,2020-11-02,2352817.30,2020-11-02
58,Клиент 58,Ю,ООО,2020-11-02,1699949.60,2020-11-03
59,Клиент 59,Ф,-,2020-11-03,2557906.61,2020-11-03
59,Клиент 59,Ф,-,2020-11-03,1528018.40,2020-11-01
59,Клиент 59,Ф,-,2020-11-03,1505978.62,2020-11-04
60,Клиент 60,Ю,ИП,2020-11-04,1373646.57,2020-11-02
60,Клиент 60,Ю,ИП,2020-11-04,1111737.75,2020-11-01
60,Клиент 60,Ю,ИП,2020-11-04,2861962.62,2020-11-04
61,Клиент 61,Ф,-,2020-11-01,984923.50,2020-11-03
61,Клиент 61,Ф,-,2020-11-01,1700052.80,2020-11-02
61,Клиент 61,Ф,-,2020-11-01,2352972.85,2020-11-01
62,Клиент 62,Ю,АО,2020-11-02,2558085.93,2020-11-02
62,Клиент 62,Ю,АО,2020-11-02,1506058.05,2020-11-03
62,Клиент 62,Ю,АО,2020-11-02,1528121.60,2020-11-04
63,Клиент 63,Ф,-,2020-11-03,2862145.25,2020-11-03
63,Клиент 63,Ф,-,2020-11-03,1373726.02,2020-11-01
63,Клиент 63,Ф,-,2020-11-03,1111813.87,2020-11-04
64,Клиент 64,Ю,ПАО,2020-11-01,2353128.40,2020-11-04
64,Клиент 64,Ю,ПАО,2020-11-01,984999.62,2020-11-02
64,Клиент 64,Ю,ПАО,2020-11-01,1700156.02,2020-11-01
65,Клиент 65,Ф,-,2020-11-02,1506137.48,2020-11-02
65,Клиент 65,Ф,-,2020-11-02,2558265.28,2020-11-01
65,Клиент 65,Ф,-,2020-11-02,1528224.80,2020-11-03
66,Клиент 66,Ю,ООО,2020-11-03,2862327.88,2020-11-02
66,Клиент 66,Ю,ООО,2020-11-03,1373805.44,2020-11-04
66,Клиент 66,Ю,ООО,2020-11-03,1111889.99,2020-11-03
67,Клиент 67,Ф,-,2020-11-04,2353283.95,2020-11-03
67,Клиент 67,Ф,-,2020-11-04,985075.74,2020-11-01
67,Клиент 67,Ф,-,2020-11-04,1700259.20,2020-11-04
68,Клиент 68,Ю,ИП,2020-11-01,1528328.00,2020-11-02
68,Клиент 68,Ю,ИП,2020-11-01,1506216.91,2020-11-01
68,Клиент 68,Ю,ИП,2020-11-01,2558444.56,2020-11-04
69,Клиент 69,Ф,-,2020-11-02,1111966.11,2020-11-02
69,Клиент 69,Ф,-,2020-11-02,2862510.51,2020-11-01
69,Клиент 69,Ф,-,2020-11-02,1373884.87,2020-11-03
70,Клиент 70,Ю,АО,2020-11-03,985151.86,2020-11-04
70,Клиент 70,Ю,АО,2020-11-03,2353439.50,2020-11-02
70,Клиент 70,Ю,АО,2020-11-03,1700362.40,2020-11-03
71,Клиент 71,Ф,-,2020-11-01,2558623.88,2020-11-03
71,Клиент 71,Ф,-,2020-11-01,1506296.34,2020-11-04
71,Клиент 71,Ф,-,2020-11-01,1528431.20,2020-11-01
72,Клиент 72,Ю,ПАО,2020-11-02,2862693.14,2020-11-04
72,Клиент 72,Ю,ПАО,2020-11-02,1373964.30,2020-11-02
72,Клиент 72,Ю,ПАО,2020-11-02,1112042.23,2020-11-01
73,Клиент 73,Ф,-,2020-11-03,2353595.05,2020-11-01
73,Клиент 73,Ф,-,2020-11-03,985227.99,2020-11-03
73,Клиент 73,Ф,-,2020-11-03,1700465.60,2020-11-02
74,Клиент 74,Ю,ООО,2020-11-04,1528534.40,2020-11-04
74,Клиент 74,Ю,ООО,2020-11-04,1506375.79,2020-11-03
74,Клиент 74,Ю,ООО,2020-11-04,2558803.20,2020-11-02
75,Клиент 75,Ф,-,2020-11-01,1374043.73,2020-11-01
75,Клиент 75,Ф,-,2020-11-01,1112118.35,2020-11-04
75,Клиент 75,Ф,-,2020-11-01,2862875.81,2020-11-03
76,Клиент 76,Ю,ИП,2020-11-02,2353750.60,2020-11-04
76,Клиент 76,Ю,ИП,2020-11-02,1700568.80,2020-11-01
76,Клиент 76,Ю,ИП,2020-11-02,985304.09,2020-11-02
77,Клиент 77,Ф,-,2020-11-03,1528637.60,2020-11-03
77,Клиент 77,Ф,-,2020-11-03,1506455.21,2020-11-02
77,Клиент 77,Ф,-,2020-11-03,2558982.52,2020-11-01
78,Клиент 78,Ю,АО,2020-11-01,1374123.16,2020-11-04
78,Клиент 78,Ю,АО,2020-11-01,1112194.47,2020-11-03
78,Клиент 78,Ю,АО,2020-11-01,2863058.41,2020-11-02
79,Клиент 79,Ф,-,2020-11-02,1700672.00,2020-11-04
79,Клиент 79,Ф,-,2020-11-02,985380.21,2020-11-01
79,Клиент 79,Ф,-,2020-11-02,2353906.15,2020-11-03
80,Клиент 80,Ю,ПАО,2020-11-03,1506534.64,2020-11-01
80,Клиент 80,Ю,ПАО,2020-11-03,1528740.80,2020-11-02
80,Клиент 80,Ю,ПАО,2020-11-03,2559161.84,2020-11-04
81,Клиент 81,Ф,-,2020-11-04,1374202.59,2020-11-03
81,Клиент 81,Ф,-,2020-11-04,1112270.59,2020-11-02
81,Клиент 81,Ф,-,2020-11-04,2863241.04,2020-11-01
82,Клиент 82,Ю,ООО,2020-11-01,2354061.70,2020-11-02
82,Клиент 82,Ю,ООО,2020-11-01,985456.33,2020-11-04
82,Клиент 82,Ю,ООО,2020-11-01,1700775.20,2020-11-03
83,Клиент 83,Ф,-,2020-11-02,2559341.16,2020-11-03
83,Клиент 83,Ф,-,2020-11-02,1506614.07,2020-11-04
83,Клиент 83,Ф,-,2020-11-02,1528844.02,2020-11-01
84,Клиент 84,Ю,ИП,2020-11-03,1112346.72,2020-11-01
84,Клиент 84,Ю,ИП,2020-11-03,1374282.02,2020-11-02
84,Клиент 84,Ю,ИП,2020-11-03,2863423.67,2020-11-04
85,Клиент 85,Ф,-,2020-11-01,2354217.28,2020-11-01
85,Клиент 85,Ф,-,2020-11-01,1700878.40,2020-11-02
85,Клиент 85,Ф,-,2020-11-01,985532.45,2020-11-03
86,Клиент 86,Ю,АО,2020-11-02,1506693.50,2020-11-03
86,Клиент 86,Ю,АО,2020-11-02,1528947.20,2020-11-04
86,Клиент 86,Ю,АО,2020-11-02,2559520.48,2020-11-02
87,Клиент 87,Ф,-,2020-11-03,2863606.30,2020-11-03
87,Клиент 87,Ф,-,2020-11-03,1112422.82,2020-11-04
87,Клиент 87,Ф,-,2020-11-03,1374361.45,2020-11-01
88,Клиент 88,Ю,ПАО,2020-11-04,1700981.60,2020-11-01
88,Клиент 88,Ю,ПАО,2020-11-04,985608.57,2020-11-02
88,Клиент 88,Ю,ПАО,2020-11-04,2354372.80,2020-11-04
89,Клиент 89,Ф,-,2020-11-01,1529050.40,2020-11-03
89,Клиент 89,Ф,-,2020-11-01,2559699.80,2020-11-01
89,Клиент 89,Ф,-,2020-11-01,1506772.93,2020-11-02
90,Клиент 90,Ю,ООО,2020-11-02,1112498.94,2020-11-03
90,Клиент 90,Ю,ООО,2020-11-02,2863788.93,2020-11-02
90,Клиент 90,Ю,ООО,2020-11-02,1374440.88,2020-11-04
91,Клиент 91,Ф,-,2020-11-03,2354528.35,2020-11-03
91,Клиент 91,Ф,-,2020-11-03,985684.69,2020-11-01
91,Клиент 91,Ф,-,2020-11-03,1701084.80,2020-11-04
92,Клиент 92,Ю,ИП,2020-11-01,1529153.60,2020-11-02
92,Клиент 92,Ю,ИП,2020-11-01,1506852.36,2020-11-01
92,Клиент 92,Ю,ИП,2020-11-01,2559879.12,2020-11-04
93,Клиент 93,Ф,-,2020-11-02,2863971.56,2020-11-01
93,Клиент 93,Ф,-,2020-11-02,1112575.06,2020-11-02
93,Клиент 93,Ф,-,2020-11-02,1374520.33,2020-11-03
94,Клиент 94,Ю,АО,2020-11-03,1701188.02,2020-11-03
94,Клиент 94,Ю,АО,2020-11-03,2354683.90,2020-11-02
94,Клиент 94,Ю,АО,2020-11-03,985760.81,2020-11-04
95,Клиент 95,Ф,-,2020-11-04,1506931.79,2020-11-04
95,Клиент 95,Ф,-,2020-11-04,2560058.47,2020-11-03
95,Клиент 95,Ф,-,2020-11-04,1529256.80,2020-11-01
96,Клиент 96,Ю,ПАО,2020-11-01,2864154.19,2020-11-04
96,Клиент 96,Ю,ПАО,2020-11-01,1112651.18,2020-11-01
96,Клиент 96,Ю,ПАО,2020-11-01,1374599.75,2020-11-02
97,Клиент 97,Ф,-,2020-11-02,985836.93,2020-11-03
97,Клиент 97,Ф,-,2020-11-02,2354839.45,2020-11-01
97,Клиент 97,Ф,-,2020-11-02,1701291.20,2020-11-02
98,Клиент 98,Ю,ООО,2020-11-03,2560237.75,2020-11-02
98,Клиент 98,Ю,ООО,2020-11-03,1529360.00,2020-11-04
98,Клиент 98,Ю,ООО,2020-11-03,1507011.22,2020-11-03
99,Клиент 99,Ф,-,2020-11-01,2864336.82,2020-11-03
99,Клиент 99,Ф,-,2020-11-01,1374679.18,2020-11-01
99,Клиент 99,Ф,-,2020-11-01,1112727.30,2020-11-04
100,Клиент 100,Ю,ИП,2020-11-02,1701394.40,2020-11-01
100,Клиент 100,Ю,ИП,2020-11-02,2354995.00,2020-11-04
100,Клиент 100,Ю,ИП,2020-11-02,985913.05,2020-11-02
101,Клиент 101,Ф,-,2020-11-03,2560417.07,2020-11-01
101,Клиент 101,Ф,-,2020-11-03,1507090.65,2020-11-02
101,Клиент 101,Ф,-,2020-11-03,1529463.20,2020-11-03
102,Клиент 102,Ю,АО,2020-11-04,1374758.61,2020-11-04
102,Клиент 102,Ю,АО,2020-11-04,1112803.42,2020-11-03
102,Клиент 102,Ю,АО,2020-11-04,2864519.45,2020-11-02
103,Клиент 103,Ф,-,2020-11-01,985989.18,2020-11-01
103,Клиент 103,Ф,-,2020-11-01,1701497.60,2020-11-04
103,Клиент 103,Ф,-,2020-11-01,2355150.55,2020-11-03
104,Клиент 104,Ю,ПАО,2020-11-02,2560596.39,2020-11-04
104,Клиент 104,Ю,ПАО,2020-11-02,1529566.40,2020-11-02
104,Клиент 104,Ю,ПАО,2020-11-02,1507170.10,2020-11-01
105,Клиент 105,Ф,-,2020-11-03,1112879.54,2020-11-02
105,Клиент 105,Ф,-,2020-11-03,1374838.04,2020-11-03
105,Клиент 105,Ф,-,2020-11-03,2864702.12,2020-11-01
106,Клиент 106,Ю,ООО,2020-11-01,1701600.80,2020-11-03
106,Клиент 106,Ю,ООО,2020-11-01,986065.28,2020-11-04
106,Клиент 106,Ю,ООО,2020-11-01,2355306.10,2020-11-02
107,Клиент 107,Ф,-,2020-11-02,1529669.60,2020-11-01
107,Клиент 107,Ф,-,2020-11-02,2560775.71,2020-11-03
107,Клиент 107,Ф,-,2020-11-02,1507249.52,2020-11-04
108,Клиент 108,Ю,ИП,2020-11-03,2864884.72,2020-11-04
108,Клиент 108,Ю,ИП,2020-11-03,1374917.47,2020-11-02
108,Клиент 108,Ю,ИП,2020-11-03,1112955.66,2020-11-01
109,Клиент 109,Ф,-,2020-11-04,986141.40,2020-11-03
109,Клиент 109,Ф,-,2020-11-04,2355461.65,2020-11-01
109,Клиент 109,Ф,-,2020-11-04,1701704.00,2020-11-02
110,Клиент 110,Ю,АО,2020-11-01,1529772.80,2020-11-04
110,Клиент 110,Ю,АО,2020-11-01,2560955.03,2020-11-02
110,Клиент 110,Ю,АО,2020-11-01,1507328.95,2020-11-03
111,Клиент 111,Ф,-,2020-11-02,2865067.35,2020-11-03
111,Клиент 111,Ф,-,2020-11-02,1113031.78,2020-11-04
111,Клиент 111,Ф,-,2020-11-02,1374996.90,2020-11-01
112,Клиент 112,Ю,ПАО,2020-11-03,2355617.20,2020-11-04
112,Клиент 112,Ю,ПАО,2020-11-03,986217.52,2020-11-02
112,Клиент 112,Ю,ПАО,2020-11-03,1701807.20,2020-11-01
113,Клиент 113,Ф,-,2020-11-01,1529876.02,2020-11-03
113,Клиент 113,Ф,-,2020-11-01,2561134.35,2020-11-01
113,Клиент 113,Ф,-,2020-11-01,1507408.38,2020-11-02
114,Клиент 114,Ю,ООО,2020-11-02,1113107.91,2020-11-03
114,Клиент 114,Ю,ООО,2020-11-02,2865249.98,2020-11-02
114,Клиент 114,Ю,ООО,2020-11-02,1375076.33,2020-11-04
115,Клиент 115,Ф,-,2020-11-03,986293.64,2020-11-01
115,Клиент 115,Ф,-,2020-11-03,2355772.78,2020-11-03
115,Клиент 115,Ф,-,2020-11-03,1701910.40,2020-11-04
116,Клиент 116,Ю,ИП,2020-11-04,1529979.20,2020-11-02
116,Клиент 116,Ю,ИП,2020-11-04,1507487.81,2020-11-01
116,Клиент 116,Ю,ИП,2020-11-04,2561313.67,2020-11-04
117,Клиент 117,Ф,-,2020-11-01,1375155.76,2020-11-03
117,Клиент 117,Ф,-,2020-11-01,1113184.01,2020-11-02
117,Клиент 117,Ф,-,2020-11-01,2865432.61,2020-11-01
118,Клиент 118,Ю,АО,2020-11-02,2355928.30,2020-11-02
118,Клиент 118,Ю,АО,2020-11-02,986369.76,2020-11-04
118,Клиент 118,Ю,АО,2020-11-02,1702013.60,2020-11-03
119,Клиент 119,Ф,-,2020-11-03,2561492.99,2020-11-03
119,Клиент 119,Ф,-,2020-11-03,1507567.24,2020-11-04
119,Клиент 119,Ф,-,2020-11-03,1530082.40,2020-11-01
120,Клиент 120,Ю,ПАО,2020-11-01,2865615.24,2020-11-04
120,Клиент 120,Ю,ПАО,2020-11-01,1113260.13,2020-11-01
120,Клиент 120,Ю,ПАО,2020-11-01,1375235.19,2020-11-02
121,Клиент 121,Ф,-,2020-11-02,986445.88,2020-11-03
121,Клиент 121,Ф,-,2020-11-02,1702116.80,2020-11-02
121,Клиент 121,Ф,-,2020-11-02,2356083.85,2020-11-01
122,Клиент 122,Ю,ООО,2020-11-03,1530185.60,2020-11-04
122,Клиент 122,Ю,ООО,2020-11-03,2561672.31,2020-11-02
122,Клиент 122,Ю,ООО,2020-11-03,1507646.67,2020-11-03
123,Клиент 123,Ф,-,2020-11-04,1375314.64,2020-11-01
123,Клиент 123,Ф,-,2020-11-04,2865797.87,2020-11-03
123,Клиент 123,Ф,-,2020-11-04,1113336.25,2020-11-04
124,Клиент 124,Ю,ИП,2020-11-01,986522.00,2020-11-02
124,Клиент 124,Ю,ИП,2020-11-01,2356239.40,2020-11-04
124,Клиент 124,Ю,ИП,2020-11-01,1702220.02,2020-11-01
125,Клиент 125,Ф,-,2020-11-02,1530288.80,2020-11-03
125,Клиент 125,Ф,-,2020-11-02,1507726.10,2020-11-02
125,Клиент 125,Ф,-,2020-11-02,2561851.66,2020-11-01
126,Клиент 126,Ю,АО,2020-11-03,2865980.50,2020-11-02
126,Клиент 126,Ю,АО,2020-11-03,1375394.06,2020-11-04
126,Клиент 126,Ю,АО,2020-11-03,1113412.37,2020-11-03
127,Клиент 127,Ф,-,2020-11-01,2356394.95,2020-11-03
127,Клиент 127,Ф,-,2020-11-01,986598.12,2020-11-01
127,Клиент 127,Ф,-,2020-11-01,1702323.20,2020-11-04
128,Клиент 128,Ю,ПАО,2020-11-02,1530392.00,2020-11-02
128,Клиент 128,Ю,ПАО,2020-11-02,1507805.53,2020-11-01
128,Клиент 128,Ю,ПАО,2020-11-02,2562030.94,2020-11-04
129,Клиент 129,Ф,-,2020-11-03,2866163.13,2020-11-01
129,Клиент 129,Ф,-,2020-11-03,1375473.49,2020-11-03
129,Клиент 129,Ф,-,2020-11-03,1113488.49,2020-11-02
130,Клиент 130,Ю,ООО,2020-11-04,986674.24,2020-11-04
