AccountId,ClientId,PaymentAmt,EnrollmentAmt,TaxAmt,ClearAmt,CarsAmt,FoodAmt,FLAmt,CutoffDt
37,37,1240599.65,0.00,1240599.65,0.00,1240595.95,0.00,1240599.65,2020-11-01
38,38,0.00,1505422.60,0.00,0.00,0.00,0.00,0.00,2020-11-03
38,38,857424.17,0.00,0.00,0.00,849420.37,0.00,0.00,2020-11-02
39,39,0.00,1111204.92,0.00,1111204.92,0.00,561930.92,0.00,2020-11-04
39,39,1355261.60,0.00,0.00,0.00,1355261.60,0.00,1355261.60,2020-11-03
40,40,0.00,1699330.40,0.00,0.00,0.00,0.00,0.00,2020-11-01
40,40,1240679.08,0.00,0.00,0.00,1234675.08,0.00,0.00,2020-11-04
41,41,0.00,1505502.03,0.00,1505502.03,0.00,401486.97,0.00,2020-11-02
41,41,857500.29,0.00,0.00,0.00,857500.29,0.00,857500.29,2020-11-01
42,42,1355364.80,0.00,0.00,0.00,1351360.60,0.00,0.00,2020-11-02
42,42,0.00,1111281.04,0.00,0.00,0.00,0.00,0.00,2020-11-03
43,43,0.00,1699433.60,0.00,0.00,0.00,241043.01,0.00,2020-11-04
43,43,1240758.51,0.00,1240758.51,0.00,1240758.51,0.00,1240758.51,2020-11-03
44,44,857576.41,0.00,857576.41,0.00,855572.01,0.00,0.00,2020-11-04
44,44,0.00,1505581.48,0.00,1505581.48,0.00,0.00,0.00,2020-11-01
45,45,0.00,1111357.16,0.00,0.00,0.00,80599.06,0.00,2020-11-02
45,45,1355468.02,0.00,0.00,0.00,1355468.02,0.00,1355468.02,2020-11-01
46,46,0.00,1699536.80,0.00,0.00,0.00,722447.08,0.00,2020-11-03
46,46,1240837.94,0.00,1240837.94,0.00,1240833.34,0.00,0.00,2020-11-02
47,47,857652.53,0.00,857652.53,0.00,849647.83,0.00,857652.53,2020-11-03
47,47,0.00,1505660.90,0.00,1505660.90,0.00,0.00,0.00,2020-11-04
48,48,0.00,1111433.28,0.00,0.00,0.00,562003.13,0.00,2020-11-01
48,48,1355571.20,0.00,0.00,0.00,1355571.20,0.00,0.00,2020-11-04
49,49,0.00,1699640.00,0.00,0.00,0.00,0.00,0.00,2020-11-02
49,49,1240917.37,0.00,0.00,0.00,1234912.47,0.00,1240917.37,2020-11-01
50,50,0.00,1505740.33,0.00,0.00,0.00,401559.17,0.00,2020-11-03
50,50,857728.65,0.00,0.00,0.00,857728.65,0.00,0.00,2020-11-02
51,51,1355674.40,0.00,0.00,0.00,1351669.30,0.00,1355674.40,2020-11-03
51,51,0.00,1111509.40,0.00,0.00,0.00,0.00,0.00,2020-11-04
52,52,0.00,1699743.20,0.00,0.00,0.00,241115.22,0.00,2020-11-01
52,52,1240996.80,0.00,1240996.80,0.00,1240996.80,0.00,0.00,2020-11-04
53,53,0.00,1505819.76,0.00,1505819.76,0.00,0.00,0.00,2020-11-02
53,53,857804.77,0.00,857804.77,0.00,855799.47,0.00,857804.77,2020-11-01
54,54,1355777.60,0.00,0.00,0.00,1355777.60,0.00,0.00,2020-11-02
54,54,0.00,1111585.53,0.00,1111585.53,0.00,80671.27,0.00,2020-11-03
55,55,0.00,1699846.40,0.00,0.00,0.00,722519.29,0.00,2020-11-04
55,55,1241076.25,0.00,1241076.25,0.00,1241070.75,0.00,1241076.25,2020-11-03
56,56,857880.89,0.00,857880.89,0.00,849875.29,0.00,0.00,2020-11-04
56,56,0.00,1505899.19,0.00,1505899.19,0.00,0.00,0.00,2020-11-01
57,57,1355880.80,0.00,0.00,0.00,1355880.80,0.00,1355880.80,2020-11-01
57,57,0.00,1111661.63,0.00,0.00,0.00,562075.33,0.00,2020-11-02
58,58,1241155.67,0.00,1241155.67,0.00,1235149.87,0.00,0.00,2020-11-02
58,58,0.00,1699949.60,0.00,1699949.60,0.00,0.00,0.00,2020-11-03
59,59,0.00,1505978.62,0.00,0.00,0.00,401631.38,0.00,2020-11-04
59,59,857957.01,0.00,857957.01,0.00,857957.01,0.00,857957.01,2020-11-03
60,60,1355984.00,0.00,1355984.00,0.00,1351978.00,0.00,0.00,2020-11-04
60,60,0.00,1111737.75,0.00,0.00,0.00,0.00,0.00,2020-11-01
61,61,0.00,1700052.80,0.00,0.00,0.00,241187.43,0.00,2020-11-02
61,61,1241235.10,0.00,1241235.10,0.00,1241235.10,0.00,1241235.10,2020-11-01
62,62,0.00,1506058.05,0.00,0.00,0.00,0.00,0.00,2020-11-03
62,62,858033.13,0.00,0.00,0.00,856026.93,0.00,0.00,2020-11-02
63,63,1356087.20,0.00,0.00,0.00,1356087.20,0.00,1356087.20,2020-11-03
63,63,0.00,1111813.87,0.00,0.00,0.00,80743.47,0.00,2020-11-04
64,64,1241314.53,0.00,1241314.53,0.00,1241308.13,0.00,0.00,2020-11-04
64,64,0.00,1700156.02,0.00,0.00,0.00,722591.50,0.00,2020-11-01
65,65,858109.26,0.00,0.00,0.00,850102.76,0.00,858109.26,2020-11-01
65,65,0.00,1506137.48,0.00,1506137.48,0.00,0.00,0.00,2020-11-02
66,66,1356190.40,0.00,1356190.40,0.00,1356190.40,0.00,0.00,2020-11-02
66,66,0.00,1111889.99,0.00,0.00,0.00,562147.54,0.00,2020-11-03
67,67,1241393.96,0.00,0.00,0.00,1235387.26,0.00,1241393.96,2020-11-03
67,67,0.00,1700259.20,0.00,1700259.20,0.00,0.00,0.00,2020-11-04
68,68,858185.36,0.00,858185.36,0.00,858185.36,0.00,0.00,2020-11-04
68,68,0.00,1506216.91,0.00,0.00,0.00,401703.59,0.00,2020-11-01
69,69,0.00,1111966.11,0.00,0.00,0.00,0.00,0.00,2020-11-02
69,69,1356293.60,0.00,1356293.60,0.00,1352286.70,0.00,1356293.60,2020-11-01
70,70,0.00,1700362.40,0.00,0.00,0.00,241259.63,0.00,2020-11-03
70,70,1241473.39,0.00,0.00,0.00,1241473.39,0.00,0.00,2020-11-02
71,71,858261.48,0.00,858261.48,0.00,856254.38,0.00,858261.48,2020-11-03
71,71,0.00,1506296.34,0.00,0.00,0.00,0.00,0.00,2020-11-04
72,72,1356396.80,0.00,0.00,0.00,1356396.80,0.00,0.00,2020-11-04
72,72,0.00,1112042.23,0.00,0.00,0.00,80815.68,0.00,2020-11-01
73,73,0.00,1700465.60,0.00,0.00,0.00,722663.70,0.00,2020-11-02
73,73,1241552.82,0.00,0.00,0.00,1241545.52,0.00,1241552.82,2020-11-01
74,74,0.00,1506375.79,0.00,1506375.79,0.00,0.00,0.00,2020-11-03
74,74,858337.60,0.00,858337.60,0.00,850330.20,0.00,0.00,2020-11-02
75,75,0.00,1112118.35,0.00,0.00,0.00,562219.75,0.00,2020-11-04
75,75,1356500.02,0.00,0.00,0.00,1356500.02,0.00,1356500.02,2020-11-03
76,76,1241632.25,0.00,0.00,0.00,1235624.65,0.00,0.00,2020-11-04
76,76,0.00,1700568.80,0.00,0.00,0.00,0.00,0.00,2020-11-01
77,77,858413.72,0.00,0.00,0.00,858413.72,0.00,858413.72,2020-11-01
77,77,0.00,1506455.21,0.00,0.00,0.00,401775.79,0.00,2020-11-02
78,78,1356603.20,0.00,1356603.20,0.00,1352595.40,0.00,0.00,2020-11-02
78,78,0.00,1112194.47,0.00,0.00,0.00,0.00,0.00,2020-11-03
79,79,1241711.68,0.00,1241711.68,0.00,1241711.68,0.00,1241711.68,2020-11-03
79,79,0.00,1700672.00,0.00,0.00,0.00,241331.84,0.00,2020-11-04
80,80,858489.84,0.00,858489.84,0.00,856481.84,0.00,0.00,2020-11-04
80,80,0.00,1506534.64,0.00,0.00,0.00,0.00,0.00,2020-11-01
81,81,0.00,1112270.59,0.00,0.00,0.00,80887.89,0.00,2020-11-02
81,81,1356706.40,0.00,0.00,0.00,1356706.40,0.00,1356706.40,2020-11-01
82,82,0.00,1700775.20,0.00,0.00,0.00,722735.91,0.00,2020-11-03
82,82,1241791.11,0.00,0.00,0.00,1241782.91,0.00,0.00,2020-11-02
83,83,0.00,1506614.07,0.00,0.00,0.00,0.00,0.00,2020-11-04
83,83,858565.96,0.00,858565.96,0.00,850557.66,0.00,858565.96,2020-11-03
84,84,1356809.60,0.00,0.00,0.00,1356809.60,0.00,0.00,2020-11-04
84,84,0.00,1112346.72,0.00,0.00,0.00,562291.96,0.00,2020-11-01
85,85,1241870.56,0.00,1241870.56,0.00,1235862.06,0.00,1241870.56,2020-11-01
85,85,0.00,1700878.40,0.00,0.00,0.00,0.00,0.00,2020-11-02
86,86,0.00,1506693.50,0.00,0.00,0.00,401848.00,0.00,2020-11-03
86,86,858642.08,0.00,858642.08,0.00,858642.08,0.00,0.00,2020-11-02
87,87,0.00,1112422.82,0.00,0.00,0.00,0.00,0.00,2020-11-04
87,87,1356912.80,0.00,0.00,0.00,1352904.10,0.00,1356912.80,2020-11-03
88,88,0.00,1700981.60,0.00,0.00,0.00,241404.05,0.00,2020-11-01
88,88,1241949.98,0.00,1241949.98,0.00,1241949.98,0.00,0.00,2020-11-04
89,89,858718.20,0.00,858718.20,0.00,856709.30,0.00,858718.20,2020-11-01
89,89,0.00,1506772.93,0.00,0.00,0.00,0.00,0.00,2020-11-02
90,90,0.00,1112498.94,0.00,1112498.94,0.00,80960.09,0.00,2020-11-03
90,90,1357016.00,0.00,1357016.00,0.00,1357016.00,0.00,0.00,2020-11-02
91,91,0.00,1701084.80,0.00,0.00,0.00,722808.12,0.00,2020-11-04
91,91,1242029.41,0.00,0.00,0.00,1242020.31,0.00,1242029.41,2020-11-03
92,92,0.00,1506852.36,0.00,0.00,0.00,0.00,0.00,2020-11-01
92,92,858794.32,0.00,858794.32,0.00,850785.12,0.00,0.00,2020-11-04
93,93,0.00,1112575.06,0.00,0.00,0.00,562364.16,0.00,2020-11-02
93,93,1357119.20,0.00,1357119.20,0.00,1357119.20,0.00,1357119.20,2020-11-01
94,94,0.00,1701188.02,0.00,0.00,0.00,0.00,0.00,2020-11-03
94,94,1242108.84,0.00,1242108.84,0.00,1236099.44,0.00,0.00,2020-11-02
95,95,0.00,1506931.79,0.00,1506931.79,0.00,401920.21,0.00,2020-11-04
95,95,858870.45,0.00,858870.45,0.00,858870.45,0.00,858870.45,2020-11-03
96,96,1357222.40,0.00,0.00,0.00,1353212.80,0.00,0.00,2020-11-04
96,96,0.00,1112651.18,0.00,1112651.18,0.00,0.00,0.00,2020-11-01
97,97,1242188.27,0.00,1242188.27,0.00,1242188.27,0.00,1242188.27,2020-11-01
97,97,0.00,1701291.20,0.00,0.00,0.00,241476.25,0.00,2020-11-02
98,98,0.00,1507011.22,0.00,1507011.22,0.00,0.00,0.00,2020-11-03
98,98,858946.55,0.00,858946.55,0.00,856936.75,0.00,0.00,2020-11-02
99,99,0.00,1112727.30,0.00,0.00,0.00,81032.30,0.00,2020-11-04
99,99,1357325.60,0.00,1357325.60,0.00,1357325.60,0.00,1357325.60,2020-11-03
100,100,0.00,1701394.40,0.00,0.00,0.00,722880.32,0.00,2020-11-01
100,100,1242267.70,0.00,1242267.70,0.00,1242257.70,0.00,0.00,2020-11-04
101,101,859022.67,0.00,859022.67,0.00,851012.57,0.00,859022.67,2020-11-01
101,101,0.00,1507090.65,0.00,0.00,0.00,0.00,0.00,2020-11-02
102,102,0.00,1112803.42,0.00,0.00,0.00,562436.37,0.00,2020-11-03
102,102,1357428.80,0.00,0.00,0.00,1357428.80,0.00,0.00,2020-11-02
103,103,1242347.13,0.00,0.00,0.00,1236336.83,0.00,1242347.13,2020-11-03
103,103,0.00,1701497.60,0.00,0.00,0.00,0.00,0.00,2020-11-04
104,104,0.00,1507170.10,0.00,0.00,0.00,401992.42,0.00,2020-11-01
104,104,859098.79,0.00,0.00,0.00,859098.79,0.00,0.00,2020-11-04
105,105,0.00,1112879.54,0.00,0.00,0.00,0.00,0.00,2020-11-02
105,105,1357532.02,0.00,1357532.02,0.00,1353521.52,0.00,1357532.02,2020-11-01
106,106,0.00,1701600.80,0.00,0.00,0.00,241548.46,0.00,2020-11-03
106,106,1242426.56,0.00,1242426.56,0.00,1242426.56,0.00,0.00,2020-11-02
107,107,0.00,1507249.52,0.00,0.00,0.00,0.00,0.00,2020-11-04
107,107,859174.91,0.00,859174.91,0.00,857164.21,0.00,859174.91,2020-11-03
108,108,0.00,1112955.66,0.00,0.00,0.00,81104.51,0.00,2020-11-01
108,108,1357635.20,0.00,0.00,0.00,1357635.20,0.00,0.00,2020-11-04
109,109,0.00,1701704.00,0.00,1701704.00,0.00,722952.53,0.00,2020-11-02
109,109,1242505.99,0.00,1242505.99,0.00,1242495.09,0.00,1242505.99,2020-11-01
110,110,859251.03,0.00,0.00,0.00,851240.03,0.00,0.00,2020-11-02
110,110,0.00,1507328.95,0.00,0.00,0.00,0.00,0.00,2020-11-03
111,111,0.00,1113031.78,0.00,0.00,0.00,562508.58,0.00,2020-11-04
111,111,1357738.40,0.00,1357738.40,0.00,1357738.40,0.00,1357738.40,2020-11-03
112,112,0.00,1701807.20,0.00,1701807.20,0.00,0.00,0.00,2020-11-01
112,112,1242585.42,0.00,1242585.42,0.00,1236574.22,0.00,0.00,2020-11-04
113,113,0.00,1507408.38,0.00,1507408.38,0.00,402064.62,0.00,2020-11-02
113,113,859327.15,0.00,0.00,0.00,859327.15,0.00,859327.15,2020-11-01
114,114,0.00,1113107.91,0.00,0.00,0.00,0.00,0.00,2020-11-03
114,114,1357841.60,0.00,1357841.60,0.00,1353830.20,0.00,0.00,2020-11-02
115,115,1242664.87,0.00,0.00,0.00,1242664.87,0.00,1242664.87,2020-11-03
115,115,0.00,1701910.40,0.00,1701910.40,0.00,241620.67,0.00,2020-11-04
116,116,859403.27,0.00,859403.27,0.00,857391.67,0.00,0.00,2020-11-04
116,116,0.00,1507487.81,0.00,1507487.81,0.00,0.00,0.00,2020-11-01
117,117,1357944.80,0.00,0.00,0.00,1357944.80,0.00,1357944.80,2020-11-01
117,117,0.00,1113184.01,0.00,0.00,0.00,81176.71,0.00,2020-11-02
118,118,0.00,1702013.60,0.00,1702013.60,0.00,723024.74,0.00,2020-11-03
118,118,1242744.29,0.00,1242744.29,0.00,1242732.49,0.00,0.00,2020-11-02
119,119,859479.39,0.00,859479.39,0.00,851467.49,0.00,859479.39,2020-11-03
119,119,0.00,1507567.24,0.00,0.00,0.00,0.00,0.00,2020-11-04
120,120,1358048.00,0.00,0.00,0.00,1358048.00,0.00,0.00,2020-11-04
120,120,0.00,1113260.13,0.00,1113260.13,0.00,562580.78,0.00,2020-11-01
121,121,0.00,1702116.80,0.00,0.00,0.00,0.00,0.00,2020-11-02
121,121,1242823.72,0.00,0.00,0.00,1236811.62,0.00,1242823.72,2020-11-01
122,122,859555.51,0.00,0.00,0.00,859555.51,0.00,0.00,2020-11-02
122,122,0.00,1507646.67,0.00,0.00,0.00,402136.83,0.00,2020-11-03
123,123,0.00,1113336.25,0.00,0.00,0.00,0.00,0.00,2020-11-04
123,123,1358151.20,0.00,1358151.20,0.00,1354138.90,0.00,1358151.20,2020-11-03
124,124,1242903.15,0.00,0.00,0.00,1242903.15,0.00,0.00,2020-11-04
124,124,0.00,1702220.02,0.00,1702220.02,0.00,241692.88,0.00,2020-11-01
125,125,0.00,1507726.10,0.00,0.00,0.00,0.00,0.00,2020-11-02
125,125,859631.64,0.00,859631.64,0.00,857619.14,0.00,859631.64,2020-11-01
126,126,0.00,1113412.37,0.00,0.00,0.00,81248.92,0.00,2020-11-03
126,126,1358254.40,0.00,0.00,0.00,1358254.40,0.00,0.00,2020-11-02
127,127,0.00,1702323.20,0.00,0.00,0.00,723096.94,0.00,2020-11-04
127,127,1242982.58,0.00,0.00,0.00,1242969.88,0.00,1242982.58,2020-11-03
128,128,0.00,1507805.53,0.00,0.00,0.00,0.00,0.00,2020-11-01
128,128,859707.74,0.00,0.00,0.00,851694.94,0.00,0.00,2020-11-04
129,129,1358357.60,0.00,1358357.60,0.00,1358357.60,0.00,1358357.60,2020-11-01
129,129,0.00,1113488.49,0.00,0.00,0.00,562652.99,0.00,2020-11-02
130,130,0.00,1702426.40,0.00,0.00,0.00,0.00,0.00,2020-11-03
130,130,1243062.01,0.00,0.00,0.00,1237049.01,0.00,0.00,2020-11-02
131,131,859783.86,0.00,0.00,0.00,859783.86,0.00,859783.86,2020-11-03
131,131,0.00,1507884.96,0.00,0.00,0.00,402209.04,0.00,2020-11-04
132,132,1358460.80,0.00,0.00,0.00,1354447.60,0.00,0.00,2020-11-04
132,132,0.00,1113564.61,0.00,1113564.61,0.00,0.00,0.00,2020-11-01
133,133,1243141.44,0.00,0.00,0.00,1243141.44,0.00,1243141.44,2020-11-01
133,133,0.00,1702529.60,0.00,1702529.60,0.00,241765.08,0.00,2020-11-02
134,134,0.00,1507964.41,0.00,1507964.41,0.00,0.00,0.00,2020-11-03
134,134,859859.98,0.00,0.00,0.00,857846.58,0.00,0.00,2020-11-02
135,135,0.00,1113640.73,0.00,0.00,0.00,81321.13,0.00,2020-11-04
135,135,1358564.02,0.00,1358564.02,0.00,1358564.02,0.00,1358564.02,2020-11-03
136,136,1243220.87,0.00,1243220.87,0.00,1243207.27,0.00,0.00,2020-11-04
136,136,0.00,1702632.80,0.00,0.00,0.00,723169.15,0.00,2020-11-01
137,137,0.00,1508043.83,0.00,0.00,0.00,0.00,0.00,2020-11-02
137,137,859936.10,0.00,859936.10,0.00,851922.40,0.00,859936.10,2020-11-01
138,138,1358667.20,0.00,1358667.20,0.00,1358667.20,0.00,0.00,2020-11-02
138,138,0.00,1113716.85,0.00,0.00,0.00,562725.20,0.00,2020-11-03
139,139,1243300.30,0.00,0.00,0.00,1237286.40,0.00,1243300.30,2020-11-03
139,139,0.00,1702736.00,0.00,0.00,0.00,0.00,0.00,2020-11-04
140,140,0.00,1508123.26,0.00,1508123.26,0.00,402281.24,0.00,2020-11-01
140,140,860012.22,0.00,0.00,0.00,860012.22,0.00,0.00,2020-11-04
141,141,0.00,1113792.97,0.00,1113792.97,0.00,0.00,0.00,2020-11-02
141,141,1358770.40,0.00,1358770.40,0.00,1354756.30,0.00,1358770.40,2020-11-01
142,142,1243379.73,0.00,0.00,0.00,1243379.73,0.00,0.00,2020-11-02
142,142,0.00,1702839.20,0.00,1702839.20,0.00,241837.29,0.00,2020-11-03
143,143,860088.34,0.00,860088.34,0.00,858074.04,0.00,860088.34,2020-11-03
143,143,0.00,1508202.69,0.00,1508202.69,0.00,0.00,0.00,2020-11-04
144,144,1358873.60,0.00,1358873.60,0.00,1358873.60,0.00,0.00,2020-11-04
144,144,0.00,1113869.10,0.00,1113869.10,0.00,81393.34,0.00,2020-11-01
145,145,1243459.18,0.00,1243459.18,0.00,1243444.68,0.00,1243459.18,2020-11-01
145,145,0.00,1702942.40,0.00,1702942.40,0.00,723241.36,0.00,2020-11-02
146,146,860164.46,0.00,0.00,0.00,852149.86,0.00,0.00,2020-11-02
146,146,0.00,1508282.12,0.00,1508282.12,0.00,0.00,0.00,2020-11-03
147,147,0.00,1113945.20,0.00,1113945.20,0.00,562797.40,0.00,2020-11-04
147,147,1358976.80,0.00,1358976.80,0.00,1358976.80,0.00,1358976.80,2020-11-03
148,148,0.00,1703045.60,0.00,0.00,0.00,0.00,0.00,2020-11-01
148,148,1243538.60,0.00,1243538.60,0.00,1237523.80,0.00,0.00,2020-11-04
149,149,860240.58,0.00,0.00,0.00,860240.58,0.00,860240.58,2020-11-01
149,149,0.00,1508361.55,0.00,0.00,0.00,402353.45,0.00,2020-11-02
150,150,1359080.00,0.00,0.00,0.00,1355065.00,0.00,0.00,2020-11-02
150,150,0.00,1114021.32,0.00,0.00,0.00,0.00,0.00,2020-11-03
151,151,1243618.03,0.00,1243618.03,0.00,1243618.03,0.00,1243618.03,2020-11-03
151,151,0.00,1703148.80,0.00,1703148.80,0.00,241909.50,0.00,2020-11-04
152,152,860316.70,0.00,0.00,0.00,858301.50,0.00,0.00,2020-11-04
152,152,0.00,1508440.98,0.00,1508440.98,0.00,0.00,0.00,2020-11-01
153,153,1359183.20,0.00,0.00,0.00,1359183.20,0.00,1359183.20,2020-11-01
153,153,0.00,1114097.44,0.00,0.00,0.00,81465.54,0.00,2020-11-02
154,154,0.00,1703252.02,0.00,0.00,0.00,723313.57,0.00,2020-11-03
154,154,1243697.46,0.00,0.00,0.00,1243682.06,0.00,0.00,2020-11-02
155,155,860392.83,0.00,0.00,0.00,852377.33,0.00,860392.83,2020-11-03
155,155,0.00,1508520.41,0.00,0.00,0.00,0.00,0.00,2020-11-04
156,156,1359286.40,0.00,0.00,0.00,1359286.40,0.00,0.00,2020-11-04
156,156,0.00,1114173.56,0.00,0.00,0.00,562869.61,0.00,2020-11-01
157,157,1243776.89,0.00,0.00,0.00,1237761.19,0.00,1243776.89,2020-11-01
157,157,0.00,1703355.20,0.00,0.00,0.00,0.00,0.00,2020-11-02
158,158,0.00,1508599.84,0.00,0.00,0.00,402425.66,0.00,2020-11-03
158,158,860468.93,0.00,0.00,0.00,860468.93,0.00,0.00,2020-11-02
159,159,0.00,1114249.68,0.00,0.00,0.00,0.00,0.00,2020-11-04
159,159,1359389.60,0.00,1359389.60,0.00,1355373.70,0.00,1359389.60,2020-11-03
160,160,0.00,1703458.40,0.00,1703458.40,0.00,241981.70,0.00,2020-11-01
160,160,1243856.32,0.00,0.00,0.00,1243856.32,0.00,0.00,2020-11-04
161,161,0.00,1508679.27,0.00,0.00,0.00,0.00,0.00,2020-11-02
